filename,source,source_id,source_url,photographer,width,height,license,provenance,category,alt,intended_use
stock-county-essex-rockport-harbor.jpg,Unsplash,uZ5dVYRiSYU,https://unsplash.com/photos/uZ5dVYRiSYU,Steve Adams,1800,1202,"Unsplash License (free, commercial use, no attribution required)",stock,county,Rockport harbor with a red fishing shack and moored boats,service-areas/essex-county + towns
stock-county-franklin-autumn-lake.jpg,Unsplash,9tn7PwJUg9I,https://unsplash.com/photos/9tn7PwJUg9I,Yilei (Jerry) Bao,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,county,Fall foliage reflected in a calm lake in western Massachusetts,service-areas/franklin-county + towns
stock-county-hampshire-valley-aerial.jpg,Unsplash,tVw4GoKSpMQ,https://unsplash.com/photos/tVw4GoKSpMQ,Michael Moloney,1800,1013,"Unsplash License (free, commercial use, no attribution required)",stock,county,Aerial view of a river winding through the Pioneer Valley,service-areas/hampshire-county + towns
stock-county-middlesex-cambridge-houses.jpg,Unsplash,gNfrHf6J2WY,https://unsplash.com/photos/gNfrHf6J2WY,Brett Wharton,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,county,Row of colorful wood-frame houses on a Cambridge street,service-areas/middlesex-county + towns; guide garage-doors-in-boston-tight-garages
stock-county-nantucket-harbor.jpg,Unsplash,6HFdIyUjeL4,https://unsplash.com/photos/6HFdIyUjeL4,Andrew Wolff,1800,1350,"Unsplash License (free, commercial use, no attribution required)",stock,county,Gray-shingled houses along the water on Nantucket,service-areas/nantucket-county
stock-county-norfolk-quincy-pier.jpg,Unsplash,qJFYJj8ZnvE,https://unsplash.com/photos/qJFYJj8ZnvE,Sean Liu,1785,1800,"Unsplash License (free, commercial use, no attribution required)",stock,county,Wooden pier stretching over the bay on the South Shore,service-areas/norfolk-county + towns
stock-county-plymouth-mayflower.jpg,Unsplash,3X0IZtSJAX8,https://unsplash.com/photos/3X0IZtSJAX8,Roland Schumann,1800,1013,"Unsplash License (free, commercial use, no attribution required)",stock,county,Tall ship moored at the pier in Plymouth harbor,service-areas/plymouth-county + towns
stock-county-suffolk-boston-skyline.jpg,Unsplash,8nA_iHrxHIo,https://unsplash.com/photos/8nA_iHrxHIo,jacob Licht,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,county,Boston skyline across the Charles River on a clear day,service-areas/suffolk-county + towns
stock-ma-aerial-autumn-neighborhood.jpg,Unsplash,GytLIxS302k,https://unsplash.com/photos/GytLIxS302k,Hayrullah Gozcu,1800,1013,"Unsplash License (free, commercial use, no attribution required)",stock,massachusetts,Aerial view of a leafy suburban neighborhood in fall,/service-areas/ index hero; /services/ banner; guide why-a-statewide-massachusetts-garage-door-company
stock-ma-colonial-white-house.jpg,Unsplash,1CHyP92Oc04,https://unsplash.com/photos/1CHyP92Oc04,I Do Nothing But Love,1800,1195,"Unsplash License (free, commercial use, no attribution required)",stock,massachusetts,White colonial house with black shutters and a lawn,guide garage-doors-on-older-massachusetts-homes
stock-ma-colonial-garage-autumn.jpg,Unsplash,CXqrVACLPdk,https://unsplash.com/photos/CXqrVACLPdk,Eilis Garvey,1800,1196,"Unsplash License (free, commercial use, no attribution required)",stock,massachusetts,White colonial home with an attached garage on an autumn street,/guides/ index hero
stock-ma-historic-street-houses.jpg,Unsplash,j5TewHOqdpw,https://unsplash.com/photos/j5TewHOqdpw,Emi Mo,1800,1193,"Unsplash License (free, commercial use, no attribution required)",stock,massachusetts,Historic clapboard and shingle houses along a village street,guide garage-doors-in-massachusetts-historic-districts
stock-ma-cape-cottage-green-garage.jpg,Unsplash,S5gUvMmFKtk,https://unsplash.com/photos/S5gUvMmFKtk,Omri D. Cohen,1800,1350,"Unsplash License (free, commercial use, no attribution required)",stock,massachusetts,Shingled cottage with a green carriage-style garage door,service page alt / guides
stock-ma-coastal-shingle-house.jpg,Unsplash,Qjc6QtIEjjg,https://unsplash.com/photos/Qjc6QtIEjjg,Omri D. Cohen,1800,1350,"Unsplash License (free, commercial use, no attribution required)",stock,massachusetts,Gray-shingle house with blue hydrangeas near the coast,guide coastal-garage-doors-salt-air
stock-ma-boston-common-skyline.jpg,Unsplash,Jx9vpP0TnS8,https://unsplash.com/photos/Jx9vpP0TnS8,Sean Sweeney,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,massachusetts,Boston skyline seen from the Common,alternate Suffolk
stock-ma-oak-bluffs-houses.jpg,Unsplash,TfyYaL5Fy-A,https://unsplash.com/photos/TfyYaL5Fy-A,Aubrey Odom,1800,1205,"Unsplash License (free, commercial use, no attribution required)",stock,massachusetts,Victorian gingerbread cottages in Oak Bluffs,guide garage-door-service-on-marthas-vineyard-and-nantucket
stock-ma-red-barn-garage-doors.jpg,Unsplash,caTIjzQt-zY,https://unsplash.com/photos/caTIjzQt-zY,Richard Burlton,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,massachusetts,Red barn with two garage doors behind a wooden fence,rural / Franklin alternate
stock-winter-garage-door-snowfall.jpg,Unsplash,-GyN_E982fQ,https://unsplash.com/photos/-GyN_E982fQ,Kelly Sikkema,1800,1142,"Unsplash License (free, commercial use, no attribution required)",stock,winter,Green garage door during a snowfall,"garage-door-wont-open hero; guides garage-door-frozen-shut, garage-door-springs-in-winter; emergency section; PPC rotation"
stock-winter-house-snow.jpg,Unsplash,2uK3SYWUiFI,https://unsplash.com/photos/2uK3SYWUiFI,Brooke Balentine,1201,1800,"Unsplash License (free, commercial use, no attribution required)",stock,winter,Light blue house on a snowy street,garage-door-weatherstripping hero; guide garage-door-snow-load-and-ice alt
stock-winter-aerial-suburb-snow.jpg,Unsplash,QFmfen6KjD8,https://unsplash.com/photos/QFmfen6KjD8,Henry St.Martin,1800,1012,"Unsplash License (free, commercial use, no attribution required)",stock,winter,Aerial view of snow-covered suburban homes with garages,guide garage-door-snow-load-and-ice
stock-winter-snowy-park.jpg,Unsplash,QpuckrL3QmM,https://unsplash.com/photos/QpuckrL3QmM,Nellie Adamyan,1201,1800,"Unsplash License (free, commercial use, no attribution required)",stock,winter,Snow-covered park with people sledding beside brick buildings,winter alternate
stock-door-modern-house-two-windows.jpg,Unsplash,3qRx6B4cT6g,https://unsplash.com/photos/3qRx6B4cT6g,GoodLifeConstruction,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,residential,White modern house with two dark garage doors with window rows,/garage-door-replacement/ hero; modern style context; guides category buying
stock-door-modern-wood-planks.jpg,Unsplash,nTzln3Hf4Fw,https://unsplash.com/photos/nTzln3Hf4Fw,Ryan Waldman,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,residential,Modern horizontal wood-plank garage door with small windows,wood-look style context; cost factor design
stock-door-black-windows-facade.jpg,Unsplash,6yDfi6QeowE,https://unsplash.com/photos/6yDfi6QeowE,Kari Shea,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,residential,Black garage door with a full-height window grid,charcoal/dark style context; cost factor windows; guide garage-door-colors-and-curb-appeal
stock-door-white-carriage-windows-brick.jpg,Unsplash,Gc2ZeL5DIhU,https://unsplash.com/photos/Gc2ZeL5DIhU,Julia Rodriguez,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,residential,White carriage-style garage door with windows on a brick house,raised-panel style context
stock-door-white-double-carriage.jpg,Unsplash,07r4q_MX6ik,https://unsplash.com/photos/07r4q_MX6ik,Claudio Schwarz,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,residential,Two white carriage-style garage doors side by side,carriage-house style context; guide carriage-house-garage-doors-explained
stock-door-beige-double-house.jpg,Unsplash,0ujK6DGzWBE,https://unsplash.com/photos/0ujK6DGzWBE,Dan Akuna,1800,1389,"Unsplash License (free, commercial use, no attribution required)",stock,residential,Beige double-wide garage door on a brick house,insulated-steel style context; cost factor size
stock-door-house-two-cars-inside.jpg,Unsplash,TlWM_glSTw0,https://unsplash.com/photos/TlWM_glSTw0,Theo,1800,1013,"Unsplash License (free, commercial use, no attribution required)",stock,residential,Open two-bay garage with cars inside a stone-fronted house,garage-door-wont-close hero; guides category troubleshooting; PPC rotation
stock-door-detached-garage-driveway.jpg,Unsplash,rzs-Qd64vZQ,https://unsplash.com/photos/rzs-Qd64vZQ,Dmitry Spravko,1200,1800,"Unsplash License (free, commercial use, no attribution required)",stock,residential,Detached single garage at the end of a driveway,garage-door-tune-up hero; guides category maintenance
stock-door-rusty-old.jpg,Unsplash,KlQKzNm6Bss,https://unsplash.com/photos/KlQKzNm6Bss,Artists Eyes,1192,1800,"Unsplash License (free, commercial use, no attribution required)",stock,residential,Old rusted garage door on a stucco wall,"noisy-garage-door-repair hero; guides garage-door-rust-prevention, signs-you-need-a-new-garage-door"
stock-cable-coiled-closeup.jpg,Unsplash,Q1YidHY5xdg,https://unsplash.com/photos/Q1YidHY5xdg,Best Garage Door NJ,1800,1350,"Unsplash License (free, commercial use, no attribution required)",stock,hardware,Close-up of steel lift cable wound on a drum,/garage-door-cable-repair/ hero; garage-door-drum-replacement hero; guide garage-door-cable-came-off
stock-contact-woman-phone.jpg,Unsplash,3KgSopqBgYI,https://unsplash.com/photos/3KgSopqBgYI,Vitaly Gariev,1800,1013,"Unsplash License (free, commercial use, no attribution required)",stock,process,Homeowner smiling while talking on the phone at home,/contact/ beside the form
stock-about-handshake-homeowner.jpg,Unsplash,1El98zbDWzA,https://unsplash.com/photos/1El98zbDWzA,Hannah Bechtel,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,process,Contractor and homeowner shaking hands inside a house,/about/ written-quote section
stock-quote-clipboard-writing.jpg,Unsplash,4b49qpzz-eU,https://unsplash.com/photos/4b49qpzz-eU,ThisisEngineering,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,process,Hand writing on a clipboard,/garage-door-replacement-cost/ hero; guides category cost; pricing guides
stock-smart-phone-app.jpg,Unsplash,IJkSskfEqrM,https://unsplash.com/photos/IJkSskfEqrM,Sebastian Scholz (Nuki),1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,process,Phone app controlling a smart door lock,smart-garage-door-opener hero; garage-door-remote-programming interim; guide smart-garage-door-opener-guide
stock-county-worcester-downtown-brick.jpg,Unsplash,BFEqlDN-UME,https://unsplash.com/photos/BFEqlDN-UME,Nana Nakazwe,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,county,Red-brick buildings at a downtown Worcester intersection,service-areas/worcester-county + towns
stock-ma-autumn-street.jpg,Unsplash,AugIV84Wvc4,https://unsplash.com/photos/AugIV84Wvc4,Alain ROUILLER,1800,1350,"Unsplash License (free, commercial use, no attribution required)",stock,massachusetts,Tree-lined street of houses in autumn color,guides category massachusetts
stock-commercial-loading-docks-blue.jpg,Unsplash,SJGC3NNOqU4,https://unsplash.com/photos/SJGC3NNOqU4,Matthew Jackson,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,commercial,Row of loading docks on a commercial building,/commercial-garage-door-repair/ hero
stock-county-hampden-river-mill-falls.jpg,Unsplash,HKrzjfra0XY,https://unsplash.com/photos/HKrzjfra0XY,Yuval Zukerman,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,county,River falls beside a red mill building in autumn,service-areas/hampden-county + towns
stock-ma-river-town-houses.jpg,Unsplash,phwWexueXe8,https://unsplash.com/photos/phwWexueXe8,Yuval Zukerman,1800,1200,"Unsplash License (free, commercial use, no attribution required)",stock,massachusetts,"River, bridge and old mill town buildings",alternate Hampden
